#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction	anno	gene
chr13	107388914	107389195	19241331	19241337	Gallbladder	chr13:107388914-107389195	6CpGs	281bp	0.0481	0.892	0.844	0.646	0.548	5.91e-213	U	Intergenic	LINC00443
chr16	72996787	72996887	21909693	21909700	Gallbladder	chr16:72996787-72996887	7CpGs	100bp	0.0172	0.946	0.929	0.713	0.548	5.03e-236	U	intron	ZFHX3
chr21	44837918	44838649	26097784	26097814	Gallbladder	chr21:44837918-44838649	30CpGs	731bp	0.175	0.927	0.752	0.67	0.548	1.26e-267	U	exon,intron	SIK1
chr11	71257595	71257717	16710483	16710489	Gallbladder	chr11:71257595-71257717	6CpGs	122bp	0.0783	0.897	0.819	0.607	0.547	3.27e-215	U	Intergenic	KRTAP5-9
chr16	57638222	57638522	21743997	21744005	Gallbladder	chr16:57638222-57638522	8CpGs	300bp	0.142	0.932	0.79	0.606	0.547	5.75e-231	U	Intergenic	GPR56
chr3	171481671	171482516	5809534	5809541	Gallbladder	chr3:171481671-171482516	7CpGs	845bp	0.11	0.924	0.814	0.589	0.546	1.65e-216	U	intron	PLD1
chr12	49742601	49743197	17703236	17703248	Gallbladder	chr12:49742601-49743197	12CpGs	596bp	0.0658	0.937	0.871	0.665	0.546	5.23e-235	U	exon	DNAJC22
chr20	36008159	36008256	25420901	25420909	Gallbladder	chr20:36008159-36008256	8CpGs	97bp	0.0182	0.929	0.911	0.737	0.546	6.66e-244	U	intron	SRC
chr4	111004479	111004907	6948539	6948544	Gallbladder	chr4:111004479-111004907	5CpGs	428bp	0.25	0.962	0.712	0.654	0.546	1e-299	U	intron	ELOVL6
chr17	41662574	41662711	22761170	22761175	Gallbladder	chr17:41662574-41662711	5CpGs	137bp	0.0236	0.922	0.899	0.679	0.545	2.26e-220	U	Intergenic	ETV4
chr17	77919294	77919595	23246679	23246693	Gallbladder	chr17:77919294-77919595	14CpGs	301bp	0.144	0.921	0.777	0.679	0.544	5.75e-256	U	intron	TBC1D16
chr20	36012381	36012435	25420985	25420992	Gallbladder	chr20:36012381-36012435	7CpGs	54bp	0.11	0.9	0.79	0.583	0.544	1.59e-212	U	intron	SRC
chr7	30824632	30825029	10881909	10881915	Gallbladder	chr7:30824632-30825029	6CpGs	397bp	0.318	0.957	0.639	0.582	0.543	3.24e-292	U	intron	INMT-FAM188B
chr11	39868259	39868438	16358208	16358217	Gallbladder	chr11:39868259-39868438	9CpGs	179bp	0.0791	0.932	0.853	0.688	0.543	5.93e-246	U	Intergenic	LRRC4C
chr2	242385224	242385905	4431115	4431125	Gallbladder	chr2:242385224-242385905	10CpGs	681bp	0.26	0.945	0.685	0.618	0.543	1.38e-278	U	intron	FARP2
chr11	60527423	60527466	16507588	16507594	Gallbladder	chr11:60527423-60527466	6CpGs	43bp	0.0779	0.9	0.822	0.584	0.543	3.49e-207	U	intron	MS4A15
chr21	44355977	44356486	26087487	26087498	Gallbladder	chr21:44355977-44356486	11CpGs	509bp	0.05	0.925	0.875	0.715	0.542	6.09e-238	U	Intergenic	PKNOX1
chr3	149196471	149196854	5656907	5656918	Gallbladder	chr3:149196471-149196854	11CpGs	383bp	0.00333	0.919	0.916	0.642	0.542	1.68e-211	U	intron	TM4SF4
chr3	171343018	171343327	5808364	5808371	Gallbladder	chr3:171343018-171343327	7CpGs	309bp	0.0513	0.883	0.831	0.6	0.54	3.17e-197	U	intron	PLD1
chr17	16187347	16187583	22446430	22446441	Gallbladder	chr17:16187347-16187583	11CpGs	236bp	0.218	0.958	0.74	0.668	0.539	8.64e-282	U	intron	PIGL
chr11	65607111	65607368	16602400	16602405	Gallbladder	chr11:65607111-65607368	5CpGs	257bp	0.213	0.947	0.733	0.64	0.539	3.68e-262	U	intron	SNX32
chr1	193157294	193157948	1740530	1740536	Gallbladder	chr1:193157294-193157948	6CpGs	654bp	0.0347	0.913	0.878	0.613	0.539	4.75e-210	U	intron	CDC73
chr15	70929583	70929648	20734326	20734331	Gallbladder	chr15:70929583-70929648	5CpGs	65bp	0.0994	0.898	0.799	0.589	0.538	6.02e-210	U	Intergenic	UACA
chr13	24447224	24447947	18613334	18613345	Gallbladder	chr13:24447224-24447947	11CpGs	723bp	0.126	0.87	0.744	0.58	0.536	1.21e-226	U	intron	MIPEP
chr18	3176288	3176650	23371363	23371369	Gallbladder	chr18:3176288-3176650	6CpGs	362bp	0.14	0.92	0.78	0.6	0.536	1.06e-229	U	intron	MYOM1
chr22	37971997	37972416	26489630	26489647	Gallbladder	chr22:37971997-37972416	17CpGs	419bp	0.0069	0.885	0.878	0.663	0.536	5.85e-219	U	intron	LGALS2
chr7	74067990	74068159	11285983	11285990	Gallbladder	chr7:74067990-74068159	7CpGs	169bp	0.0345	0.924	0.889	0.661	0.536	6.93e-221	U	Intergenic	GTF2I
chr4	91418043	91418115	6825080	6825085	Gallbladder	chr4:91418043-91418115	5CpGs	72bp	0	0.924	0.924	0.66	0.536	2.72e-217	U	intron	CCSER1
chr18	60672273	60672600	23840516	23840524	Gallbladder	chr18:60672273-60672600	8CpGs	327bp	0.00431	0.899	0.895	0.681	0.535	1.05e-222	U	Intergenic	PHLPP1
chr1	232596625	232597017	2110109	2110126	Gallbladder	chr1:232596625-232597017	17CpGs	392bp	0.0427	0.941	0.898	0.67	0.535	5.59e-243	U	intron	SIPA1L2
chr2	232263444	232263922	4272052	4272071	Gallbladder	chr2:232263444-232263922	19CpGs	478bp	0.0183	0.938	0.92	0.806	0.532	5.81e-263	U	exon	B3GNT7
chr18	60671734	60672035	23840509	23840515	Gallbladder	chr18:60671734-60672035	6CpGs	301bp	0.0704	0.915	0.844	0.647	0.531	1.52e-225	U	Intergenic	PHLPP1
chr1	164776163	164776365	1530358	1530364	Gallbladder	chr1:164776163-164776365	6CpGs	202bp	0.154	0.928	0.774	0.582	0.529	6.14e-215	U	intron	PBX1
chr21	44880700	44880922	26099316	26099329	Gallbladder	chr21:44880700-44880922	13CpGs	222bp	0.0288	0.884	0.855	0.59	0.529	8.84e-206	U	Intergenic	LINC00319
chr11	1251542	1251729	16019211	16019216	Gallbladder	chr11:1251542-1251729	5CpGs	187bp	0.0909	0.893	0.802	0.616	0.528	4.01e-217	U	exon,intron	MUC5B
chr21	37407447	37407575	25994355	25994360	Gallbladder	chr21:37407447-37407575	5CpGs	128bp	0.0769	0.906	0.829	0.604	0.528	1.12e-211	U	exon	SETD4
chr21	44838717	44838851	26097815	26097820	Gallbladder	chr21:44838717-44838851	5CpGs	134bp	0.0968	0.878	0.781	0.622	0.527	6.46e-228	U	intron	SIK1
chr17	71326477	71326646	23111942	23111948	Gallbladder	chr17:71326477-71326646	6CpGs	169bp	0.211	0.95	0.738	0.607	0.527	6.16e-260	U	Intergenic	CDC42EP4
chr16	72317796	72318298	21903341	21903349	Gallbladder	chr16:72317796-72318298	8CpGs	502bp	0.131	0.929	0.798	0.631	0.527	1.17e-236	U	Intergenic	PMFBP1
chr11	74242313	74242459	16746315	16746320	Gallbladder	chr11:74242313-74242459	5CpGs	146bp	0.189	0.938	0.748	0.618	0.527	2.54e-248	U	Intergenic	LIPT2
chr11	1242701	1242838	16018880	16018887	Gallbladder	chr11:1242701-1242838	7CpGs	137bp	0.0137	0.818	0.805	0.612	0.527	4.48e-194	U	Intergenic	MUC5B
chr17	73636703	73637245	23155075	23155087	Gallbladder	chr17:73636703-73637245	12CpGs	542bp	0.0906	0.936	0.845	0.718	0.526	3.79e-255	U	exon,intron	SMIM5
chr10	12452740	12452958	14787897	14787902	Gallbladder	chr10:12452740-12452958	5CpGs	218bp	0.051	0.909	0.858	0.732	0.525	1.5e-229	U	intron	CAMK1D
chr11	69795930	69796159	16683385	16683393	Gallbladder	chr11:69795930-69796159	8CpGs	229bp	0.186	0.927	0.741	0.636	0.525	2.17e-248	U	Intergenic	FGF3
chr19	1699150	1699165	24080021	24080026	Gallbladder	chr19:1699150-1699165	5CpGs	15bp	0.0116	0.858	0.847	0.643	0.525	9.36e-202	U	Intergenic	TCF3
chr7	1586104	1586158	10577317	10577324	Gallbladder	chr7:1586104-1586158	7CpGs	54bp	0.0294	0.883	0.854	0.615	0.525	7.37e-197	U	exon	TMEM184A
chr22	50722273	50723048	26738639	26738683	Gallbladder	chr22:50722273-50723048	44CpGs	775bp	0.0411	0.89	0.849	0.668	0.524	3.84e-219	U	exon,intron	PLXNB2
chr9	116673851	116674325	14247742	14247753	Gallbladder	chr9:116673851-116674325	11CpGs	474bp	0.108	0.905	0.796	0.549	0.523	7.49e-203	U	intron	ZNF618
chr3	193586951	193587241	6000822	6000835	Gallbladder	chr3:193586951-193587241	13CpGs	290bp	0.123	0.918	0.796	0.62	0.522	3.59e-227	U	Intergenic	DPPA2P3
chr13	41833664	41833903	18773212	18773222	Gallbladder	chr13:41833664-41833903	10CpGs	239bp	0.271	0.945	0.674	0.617	0.522	2.32e-289	U	intron	MTRF1
chr6	149238943	149239195	10270341	10270348	Gallbladder	chr6:149238943-149239195	7CpGs	252bp	0.00866	0.938	0.929	0.623	0.521	3.73e-224	U	intron	UST
chr1	19704327	19704536	355135	355140	Gallbladder	chr1:19704327-19704536	5CpGs	209bp	0.0524	0.922	0.87	0.671	0.521	7.69e-222	U	intron	CAPZB
chr15	59567074	59567402	20605346	20605353	Gallbladder	chr15:59567074-59567402	7CpGs	328bp	0.0357	0.913	0.878	0.716	0.52	3.01e-231	U	intron	MYO1E
chr5	131961615	131961840	8539976	8539981	Gallbladder	chr5:131961615-131961840	5CpGs	225bp	0.213	0.93	0.717	0.563	0.519	2.03e-233	U	intron	RAD50
chr6	159554139	159554377	10382373	10382378	Gallbladder	chr6:159554139-159554377	5CpGs	238bp	0.167	0.907	0.741	0.587	0.519	1.46e-222	U	Intergenic	FNDC1
chr17	2554592	2555487	22246622	22246632	Gallbladder	chr17:2554592-2555487	10CpGs	895bp	0.353	0.958	0.604	0.543	0.518	6.09e-294	U	intron	PAFAH1B1
chr2	70010066	70010782	2952657	2952674	Gallbladder	chr2:70010066-70010782	17CpGs	716bp	0.222	0.956	0.734	0.605	0.518	1.58e-264	U	intron	ANXA4
chr11	1862243	1862442	16035977	16035986	Gallbladder	chr11:1862243-1862442	9CpGs	199bp	0.216	0.921	0.706	0.571	0.518	2.7e-232	U	exon	TNNI2
chr11	2861262	2861548	16058330	16058335	Gallbladder	chr11:2861262-2861548	5CpGs	286bp	0.0549	0.833	0.778	0.547	0.517	5.67e-182	U	intron	KCNQ1
chr12	95561915	95562388	18068724	18068734	Gallbladder	chr12:95561915-95562388	10CpGs	473bp	0.168	0.933	0.766	0.631	0.516	7.27e-240	U	intron	FGD6
chr3	184075158	184075663	5913546	5913562	Gallbladder	chr3:184075158-184075663	16CpGs	505bp	0.339	0.939	0.601	0.547	0.515	6.77e-290	U	exon	CLCN2
chr10	6776645	6777112	14726797	14726804	Gallbladder	chr10:6776645-6777112	7CpGs	467bp	0.023	0.891	0.868	0.666	0.514	2.91e-219	U	Intergenic	LINC00707
chr5	600978	601209	7561729	7561740	Gallbladder	chr5:600978-601209	11CpGs	231bp	0.0711	0.894	0.823	0.614	0.514	2.48e-227	U	Intergenic	CEP72
chr6	22660955	22661119	9300937	9300942	Gallbladder	chr6:22660955-22661119	5CpGs	164bp	0.0695	0.921	0.851	0.688	0.513	1.09e-219	U	Intergenic	HDGFL1
chr4	88776279	88776380	6805619	6805626	Gallbladder	chr4:88776279-88776380	7CpGs	101bp	0.0667	0.925	0.859	0.755	0.512	3.45e-247	U	Intergenic	MEPE
chr12	56841404	56841752	17797578	17797583	Gallbladder	chr12:56841404-56841752	5CpGs	348bp	0.0272	0.892	0.865	0.668	0.512	5.89e-214	U	intron	TIMELESS
chr8	6677850	6678231	12190294	12190301	Gallbladder	chr8:6677850-6678231	7CpGs	381bp	0.176	0.931	0.755	0.616	0.512	2.8e-234	U	intron	XKR5
chr7	895051	895511	10552898	10552919	Gallbladder	chr7:895051-895511	21CpGs	460bp	0.342	0.956	0.614	0.558	0.512	3.85e-300	U	intron	SUN1
chr11	1273472	1273921	16020054	16020076	Gallbladder	chr11:1273472-1273921	22CpGs	449bp	0.144	0.915	0.771	0.623	0.511	1.65e-243	U	exon	MUC5B
chr7	100458739	100458964	11518245	11518252	Gallbladder	chr7:100458739-100458964	7CpGs	225bp	0.021	0.894	0.873	0.71	0.511	2.3e-220	U	intron	SLC12A9
chr10	6022690	6023461	14716097	14716105	Gallbladder	chr10:6022690-6023461	8CpGs	771bp	0.00943	0.913	0.903	0.728	0.511	1.97e-225	U	Intergenic	IL15RA
chr1	197958205	197958371	1768635	1768640	Gallbladder	chr1:197958205-197958371	5CpGs	166bp	0.018	0.87	0.852	0.623	0.51	5.38e-198	U	Intergenic	LHX9
chr10	5139644	5140491	14704075	14704081	Gallbladder	chr10:5139644-5140491	6CpGs	847bp	0.112	0.897	0.785	0.55	0.51	1.02e-204	U	intron	AKR1C3
chr21	17751147	17752289	25833226	25833236	Gallbladder	chr21:17751147-17752289	10CpGs	1142bp	0.117	0.903	0.786	0.611	0.509	2.58e-213	U	intron	LINC00478
chr2	365054	365353	2288992	2289004	Gallbladder	chr2:365054-365353	12CpGs	299bp	0.0421	0.916	0.874	0.698	0.509	2.13e-231	U	Intergenic	FAM150B
chr12	93787841	93788407	18051193	18051208	Gallbladder	chr12:93787841-93788407	15CpGs	566bp	0.0578	0.91	0.852	0.675	0.509	6.67e-217	U	intron	NUDT4P1
chr7	29472877	29473387	10868126	10868138	Gallbladder	chr7:29472877-29473387	12CpGs	510bp	0.125	0.927	0.802	0.656	0.509	2.72e-239	U	intron	CHN2
chr2	60642332	60642793	2867314	2867327	Gallbladder	chr2:60642332-60642793	13CpGs	461bp	0.0217	0.932	0.91	0.775	0.506	6.9e-238	U	Intergenic	MIR4432
chr2	13672594	13673103	2450232	2450249	Gallbladder	chr2:13672594-13673103	17CpGs	509bp	0.0473	0.934	0.887	0.665	0.506	2.54e-233	U	Intergenic	LOC100506474
chr20	47855711	47855830	25556448	25556453	Gallbladder	chr20:47855711-47855830	5CpGs	119bp	0	0.85	0.85	0.648	0.506	4.32e-201	U	exon,intron	DDX27
chr12	93783019	93783197	18051132	18051140	Gallbladder	chr12:93783019-93783197	8CpGs	178bp	0.119	0.936	0.817	0.586	0.506	7.59e-222	U	intron	NUDT4P1
chr17	36088054	36088321	22669777	22669786	Gallbladder	chr17:36088054-36088321	9CpGs	267bp	0.1	0.913	0.813	0.608	0.505	3.47e-215	U	intron	HNF1B
chr6	168605006	168605576	10488484	10488494	Gallbladder	chr6:168605006-168605576	10CpGs	570bp	0.0225	0.907	0.884	0.694	0.505	5.72e-221	U	Intergenic	DACT2
chr19	55741530	55741921	25014134	25014149	Gallbladder	chr19:55741530-55741921	15CpGs	391bp	0.126	0.907	0.781	0.603	0.504	4.53e-230	U	exon,intron	PPP6R1
chr6	3272151	3272331	9097750	9097758	Gallbladder	chr6:3272151-3272331	8CpGs	180bp	0.178	0.889	0.711	0.567	0.503	2.71e-221	U	exon	SLC22A23
chr9	92976862	92976981	14016178	14016184	Gallbladder	chr9:92976862-92976981	6CpGs	119bp	0	0.892	0.892	0.646	0.502	3.79e-207	U	Intergenic	LOC286370
chr10	6344120	6344368	14721923	14721930	Gallbladder	chr10:6344120-6344368	7CpGs	248bp	0.0458	0.912	0.867	0.683	0.501	1.16e-224	U	intron	LOC399715
chr12	93502354	93502725	18048453	18048459	Gallbladder	chr12:93502354-93502725	6CpGs	371bp	0.0111	0.899	0.888	0.628	0.5	1.57e-194	U	intron	LOC643339
chr14	68191129	68191701	19757903	19757915	Gallbladder	chr14:68191129-68191701	12CpGs	572bp	0.149	0.891	0.742	0.562	0.5	3.49e-215	U	intron	RDH12
chr2	66195978	66196224	2923436	2923447	Gallbladder	chr2:66195978-66196224	11CpGs	246bp	0.00917	0.878	0.868	0.601	0.5	4.28e-194	U	Intergenic	MIR4778
chr20	56510607	56510857	25665801	25665811	Gallbladder	chr20:56510607-56510857	10CpGs	250bp	0.0166	0.899	0.883	0.622	0.5	9.84e-212	U	Intergenic	MIR4532
chr16	70451710	70451838	21879482	21879487	Gallbladder	chr16:70451710-70451838	5CpGs	128bp	0.0481	0.841	0.793	0.564	0.499	3.8e-201	U	intron	ST3GAL2
chr20	8639212	8639437	25170042	25170048	Gallbladder	chr20:8639212-8639437	6CpGs	225bp	0.0286	0.892	0.863	0.633	0.499	1.25e-214	U	exon,intron	PLCB1
chr12	80543569	80543857	17972559	17972577	Gallbladder	chr12:80543569-80543857	18CpGs	288bp	0.00426	0.914	0.91	0.693	0.498	7.97e-218	U	Intergenic	OTOGL
chr12	93415436	93415615	18047712	18047720	Gallbladder	chr12:93415436-93415615	8CpGs	179bp	0.0144	0.892	0.878	0.576	0.498	1.83e-190	U	intron	LOC643339
chr11	1249162	1249211	16019121	16019127	Gallbladder	chr11:1249162-1249211	6CpGs	49bp	0.00581	0.865	0.859	0.682	0.498	1.34e-212	U	intron	MUC5B
chr13	96624841	96625301	19142873	19142883	Gallbladder	chr13:96624841-96625301	10CpGs	460bp	0.142	0.928	0.785	0.582	0.498	3.22e-217	U	intron	UGGT2
chr11	64790716	64790825	16583772	16583777	Gallbladder	chr11:64790716-64790825	5CpGs	109bp	0.112	0.909	0.797	0.57	0.498	2.95e-212	U	intron	ARL2-SNX15
chr19	1698699	1698792	24079990	24080002	Gallbladder	chr19:1698699-1698792	12CpGs	93bp	0.0816	0.894	0.812	0.598	0.497	3.94e-218	U	Intergenic	TCF3
chr8	27741870	27741933	12421838	12421843	Gallbladder	chr8:27741870-27741933	5CpGs	63bp	0.0635	0.901	0.837	0.664	0.496	1.66e-226	U	intron	SCARA5
chr8	112882618	112883004	13066899	13066905	Gallbladder	chr8:112882618-112883004	6CpGs	386bp	0.085	0.922	0.837	0.679	0.496	2.25e-234	U	Intergenic	MIR2053
chr1	12645524	12645905	253169	253180	Gallbladder	chr1:12645524-12645905	11CpGs	381bp	0.0394	0.916	0.877	0.688	0.496	1.15e-220	U	intron	DHRS3
chr11	2782971	2783201	16056743	16056751	Gallbladder	chr11:2782971-2783201	8CpGs	230bp	0.0594	0.88	0.82	0.616	0.496	4.37e-205	U	intron	KCNQ1
chr17	80727092	80727361	23328081	23328089	Gallbladder	chr17:80727092-80727361	8CpGs	269bp	0.0956	0.933	0.837	0.653	0.496	1.54e-228	U	intron	TBCD
chr16	48449938	48450248	21648091	21648098	Gallbladder	chr16:48449938-48450248	7CpGs	310bp	0.0485	0.899	0.85	0.61	0.496	1.81e-205	U	Intergenic	SIAH1
chr8	12835134	12835611	12273647	12273655	Gallbladder	chr8:12835134-12835611	8CpGs	477bp	0.107	0.906	0.799	0.543	0.495	1.85e-197	U	intron	KIAA1456
chr11	1253904	1253979	16019308	16019317	Gallbladder	chr11:1253904-1253979	9CpGs	75bp	0.0364	0.938	0.902	0.706	0.495	7.91e-233	U	exon	MUC5B
chr13	37413906	37414076	18738991	18739000	Gallbladder	chr13:37413906-37414076	9CpGs	170bp	0.208	0.927	0.719	0.586	0.495	6.75e-241	U	Intergenic	RFXAP
chr5	1129123	1129413	7575682	7575690	Gallbladder	chr5:1129123-1129413	8CpGs	290bp	0.165	0.89	0.725	0.564	0.494	4.17e-205	U	Intergenic	SLC12A7
chr7	31030314	31030728	10884341	10884347	Gallbladder	chr7:31030314-31030728	6CpGs	414bp	0	0.825	0.825	0.557	0.494	1.23e-177	U	Intergenic	GHRHR
chr1	232801650	232801824	2112254	2112260	Gallbladder	chr1:232801650-232801824	6CpGs	174bp	0	0.929	0.929	0.651	0.492	4.12e-222	U	Intergenic	MAP10
chr2	54790779	54791017	2826379	2826390	Gallbladder	chr2:54790779-54791017	11CpGs	238bp	0.188	0.956	0.768	0.684	0.491	1.79e-263	U	intron	SPTBN1
chr18	9898757	9898996	23437297	23437303	Gallbladder	chr18:9898757-9898996	6CpGs	239bp	0.039	0.897	0.858	0.63	0.491	2.52e-205	U	Intergenic	TXNDC2
chr11	68636057	68636293	16663195	16663201	Gallbladder	chr11:68636057-68636293	6CpGs	236bp	0.0829	0.866	0.783	0.629	0.491	8.09e-213	U	Intergenic	CPT1A
chr7	20444985	20445094	10781344	10781352	Gallbladder	chr7:20444985-20445094	8CpGs	109bp	0.292	0.94	0.648	0.535	0.491	1.67e-240	U	intron	ITGB8
chr15	85400424	85400643	20899215	20899225	Gallbladder	chr15:85400424-85400643	10CpGs	219bp	0.0958	0.898	0.803	0.626	0.49	1.66e-217	U	exon	ALPK3
chr6	42584492	42585738	9541134	9541152	Gallbladder	chr6:42584492-42585738	18CpGs	1246bp	0.162	0.92	0.758	0.633	0.489	2.52e-248	U	intron	UBR2
chr11	1859838	1859965	16035888	16035895	Gallbladder	chr11:1859838-1859965	7CpGs	127bp	0.0333	0.893	0.86	0.732	0.489	1.3e-226	U	promoter-TSS	TNNI2
chr17	36088358	36088593	22669787	22669801	Gallbladder	chr17:36088358-36088593	14CpGs	235bp	0.221	0.952	0.73	0.645	0.489	2.2e-268	U	intron	HNF1B
chr11	1250395	1250479	16019168	16019174	Gallbladder	chr11:1250395-1250479	6CpGs	84bp	0.0114	0.887	0.876	0.741	0.489	1.03e-230	U	exon	MUC5B
chr22	43563638	43564302	26595530	26595550	Gallbladder	chr22:43563638-43564302	20CpGs	664bp	0.183	0.934	0.751	0.565	0.488	4.96e-231	U	exon	TTLL12
chr8	2609598	2609839	12147000	12147013	Gallbladder	chr8:2609598-2609839	13CpGs	241bp	0.106	0.92	0.814	0.638	0.487	1.51e-231	U	Intergenic	MYOM2
chr17	75386678	75386829	23192477	23192490	Gallbladder	chr17:75386678-75386829	13CpGs	151bp	0.172	0.917	0.744	0.567	0.487	2.3e-218	U	intron	SEPT9
chr9	130337869	130338056	14388247	14388252	Gallbladder	chr9:130337869-130338056	5CpGs	187bp	0.139	0.928	0.789	0.637	0.486	4.86e-225	U	intron	FAM129B
chr11	1257472	1257721	16019462	16019476	Gallbladder	chr11:1257472-1257721	14CpGs	249bp	0.12	0.859	0.739	0.572	0.486	3.88e-197	U	intron	MUC5B
chr14	99861661	99861820	20072111	20072116	Gallbladder	chr14:99861661-99861820	5CpGs	159bp	0.176	0.935	0.758	0.6	0.486	2.35e-231	U	Intergenic	SETD3
chr22	37407117	37407240	26477799	26477810	Gallbladder	chr22:37407117-37407240	11CpGs	123bp	0.0613	0.903	0.842	0.561	0.485	2.11e-210	U	exon	TST
chr10	92296155	92296408	15486640	15486651	Gallbladder	chr10:92296155-92296408	11CpGs	253bp	0.0792	0.897	0.818	0.594	0.485	8.84e-210	U	Intergenic	HTR7
chr6	170684826	170684876	10523784	10523790	Gallbladder	chr6:170684826-170684876	6CpGs	50bp	0.015	0.943	0.928	0.681	0.485	5.88e-229	U	intron	FAM120B
chr20	53260018	53260192	25627479	25627489	Gallbladder	chr20:53260018-53260192	10CpGs	174bp	0.172	0.922	0.749	0.541	0.484	3.51e-222	U	intron	DOK5
chr11	39868461	39868570	16358218	16358227	Gallbladder	chr11:39868461-39868570	9CpGs	109bp	0.108	0.932	0.824	0.661	0.483	3.49e-241	U	Intergenic	LRRC4C
chr15	85770444	85771292	20903249	20903255	Gastric-Ep	chr15:85770444-85771292	6CpGs	848bp	0.0459	0.854	0.808	0.763	0.754	0.00265	U	Intergenic	LOC642423
chr16	71844287	71845072	21897292	21897308	Gastric-Ep	chr16:71844287-71845072	16CpGs	785bp	0.0326	0.935	0.903	0.828	0.748	1.2e-171	U	Intergenic	AP1G1
chr1	117614584	117615150	1271495	1271505	Gastric-Ep	chr1:117614584-117615150	10CpGs	566bp	0.0636	0.964	0.901	0.827	0.729	2.28e-205	U	intron	TTF2
chr18	55321793	55321988	23789821	23789827	Gastric-Ep	chr18:55321793-55321988	6CpGs	195bp	0.0562	0.955	0.899	0.752	0.668	2.25e-142	U	intron	ATP8B1
chr2	232284718	232284781	4272504	4272511	Gastric-Ep	chr2:232284718-232284781	7CpGs	63bp	0.0627	0.951	0.888	0.792	0.667	9.69e-163	U	Intergenic	B3GNT7
chr1	54805307	54805623	806344	806355	Gastric-Ep	chr1:54805307-54805623	11CpGs	316bp	0.0918	0.938	0.846	0.721	0.667	1.18e-152	U	intron	SSBP3
chr6	126336351	126336656	10098733	10098740	Gastric-Ep	chr6:126336351-126336656	7CpGs	305bp	0.0582	0.97	0.912	0.854	0.65	2.2e-184	U	intron	TRMT11
chr2	103095409	103095902	3231709	3231735	Gastric-Ep	chr2:103095409-103095902	26CpGs	493bp	0.0224	0.916	0.894	0.717	0.649	9.58e-117	U	exon	SLC9A4
chr6	119154681	119155027	10052601	10052609	Gastric-Ep	chr6:119154681-119155027	8CpGs	346bp	0.0181	0.916	0.898	0.701	0.641	1.11e-101	U	intron	MCM9
chr22	18819370	18820744	26211013	26211032	Gastric-Ep	chr22:18819370-18820744	19CpGs	1374bp	0.0192	0.821	0.802	0.647	0.628	0.000872	U	Intergenic	GGT3P
chr4	25304443	25304718	6374695	6374704	Gastric-Ep	chr4:25304443-25304718	9CpGs	275bp	0.0356	0.883	0.848	0.686	0.625	3.59e-104	U	Intergenic	ZCCHC4
chr3	65168887	65168944	5047636	5047643	Gastric-Ep	chr3:65168887-65168944	7CpGs	57bp	0.0231	0.947	0.924	0.707	0.625	3.97e-130	U	Intergenic	MIR548A2
chr2	37118525	37119160	2670732	2670738	Gastric-Ep	chr2:37118525-37119160	6CpGs	635bp	0.0295	0.941	0.912	0.71	0.61	4.43e-115	U	intron	STRN
chr3	137717665	137717901	5571309	5571321	Gastric-Ep	chr3:137717665-137717901	12CpGs	236bp	0.0159	0.924	0.908	0.774	0.608	5.22e-135	U	exon	CLDN18
chr9	136250832	136250998	14503876	14503883	Gastric-Ep	chr9:136250832-136250998	7CpGs	166bp	0.0552	0.943	0.888	0.748	0.6	1.34e-142	U	intron	C9orf96
chr19	41667028	41667644	24748396	24748409	Gastric-Ep	chr19:41667028-41667644	13CpGs	616bp	0.056	0.906	0.85	0.683	0.599	5.19e-113	U	Intergenic	CYP2S1
chr21	35739053	35739404	25977751	25977764	Gastric-Ep	chr21:35739053-35739404	13CpGs	351bp	0.037	0.911	0.874	0.741	0.597	5.23e-129	U	intron	KCNE2
chr21	35738641	35739007	25977740	25977750	Gastric-Ep	chr21:35738641-35739007	10CpGs	366bp	0.0275	0.904	0.876	0.735	0.597	1.81e-132	U	intron	KCNE2
chr13	28837971	28838117	18664392	18664397	Gastric-Ep	chr13:28837971-28838117	5CpGs	146bp	0.0288	0.959	0.93	0.755	0.594	1.01e-143	U	intron	PAN3
chr5	139627446	139627766	8626913	8626923	Gastric-Ep	chr5:139627446-139627766	10CpGs	320bp	0.0357	0.948	0.912	0.753	0.586	4.88e-129	U	intron	PFDN1
chr16	15002290	15003400	21356735	21356750	Gastric-Ep	chr16:15002290-15003400	15CpGs	1110bp	0.0429	0.889	0.846	0.658	0.586	1.3e-63	U	Intergenic	MIR3180-2
chr2	17862228	17862982	2482225	2482232	Gastric-Ep	chr2:17862228-17862982	7CpGs	754bp	0.116	0.957	0.84	0.705	0.584	4.34e-141	U	intron	SMC6
chr7	152166508	152166877	11983626	11983633	Gastric-Ep	chr7:152166508-152166877	7CpGs	369bp	0.0159	0.912	0.896	0.698	0.578	8.49e-108	U	Intergenic	LOC100128822
chr4	1364945	1365430	6104320	6104335	Gastric-Ep	chr4:1364945-1365430	15CpGs	485bp	0.0737	0.919	0.846	0.688	0.578	3.02e-128	U	intron	UVSSA
chr2	98376000	98376235	3179934	3179940	Gastric-Ep	chr2:98376000-98376235	6CpGs	235bp	0.0419	0.93	0.888	0.695	0.57	1.64e-116	U	exon	TMEM131
