#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr12	1724171	1724730	17785913	17785919	Lung-Ep-Bron	chr12:1724171-1724730	6CpGs	559bp	0.348	0.902	0.554	0.314	0.205	4.99e-30	U
chr2	224805553	224806044	4334515	4334520	Lung-Ep-Bron	chr2:224805553-224806044	5CpGs	491bp	0.282	0.887	0.605	0.292	0.204	3.44e-21	U
chr1	8132636	8133109	175584	175597	Lung-Ep-Bron	chr1:8132636-8133109	13CpGs	473bp	0.277	0.907	0.63	0.312	0.204	1.8e-27	U
chr1	61393612	61394237	862370	862375	Lung-Ep-Bron	chr1:61393612-61394237	5CpGs	625bp	0.147	0.888	0.74	0.482	0.204	1.56e-30	U
chr9	76934614	76935017	14299720	14299727	Lung-Ep-Bron	chr9:76934614-76935017	7CpGs	403bp	0.24	0.892	0.652	0.344	0.204	2.83e-29	U
chr10	97244794	97245303	15987054	15987061	Lung-Ep-Bron	chr10:97244794-97245303	7CpGs	509bp	0.14	0.93	0.79	0.566	0.202	1.19e-42	U
chr9	1654895	1655283	13800837	13800843	Lung-Ep-Bron	chr9:1654895-1655283	6CpGs	388bp	0.245	0.858	0.613	0.311	0.202	3.08e-21	U
chr1	228833368	228833532	2159435	2159440	Lung-Ep-Bron	chr1:228833368-228833532	5CpGs	164bp	0.366	0.898	0.532	0.273	0.201	7.6e-25	U
chr20	53332586	53332945	26572342	26572348	Lung-Ep-Bron	chr20:53332586-53332945	6CpGs	359bp	0.0958	0.859	0.763	0.359	0.201	6.21e-23	U
chr17	10140063	10140565	23068528	23068537	Lung-Ep-Bron	chr17:10140063-10140565	9CpGs	502bp	0.351	0.877	0.526	0.235	0.2	4.17e-19	U
chr7	85000438	85001526	11728780	11728785	Lung-Ep-Bron	chr7:85000438-85001526	5CpGs	1088bp	0.209	0.856	0.646	0.321	0.2	1.62e-22	U
chr2	208224282	208225329	4195791	4195799	Lung-Ep-Bron	chr2:208224282-208225329	8CpGs	1047bp	0.374	0.903	0.529	0.27	0.2	1.53e-26	U
chr14	37387469	37388184	20121103	20121109	Lung-Ep-Bron	chr14:37387469-37388184	6CpGs	715bp	0.0823	0.894	0.812	0.448	0.199	2.31e-34	U
chr10	114563158	114563447	16161630	16161636	Lung-Ep-Bron	chr10:114563158-114563447	6CpGs	289bp	0.378	0.914	0.535	0.33	0.199	9.2e-32	U
chr9	124840933	124841103	14752471	14752477	Lung-Ep-Bron	chr9:124840933-124841103	6CpGs	170bp	0.18	0.832	0.652	0.334	0.199	2.22e-16	U
chr3	187912686	187912766	6123492	6123497	Lung-Ep-Bron	chr3:187912686-187912766	5CpGs	80bp	0.0717	0.91	0.839	0.574	0.199	4.06e-37	U
chr12	51677854	51678098	18259259	18259264	Lung-Ep-Bron	chr12:51677854-51678098	5CpGs	244bp	0.102	0.83	0.728	0.424	0.198	5.75e-25	U
chr1	57540147	57540445	834274	834279	Lung-Ep-Bron	chr1:57540147-57540445	5CpGs	298bp	0.128	0.848	0.72	0.327	0.197	1.14e-17	U
chrY	8795388	8795585	29266576	29266581	Lung-Ep-Bron	chrY:8795388-8795585	5CpGs	197bp	0.307	0.797	0.49	0.245	0.197	8.68e-12	U
chr3	12372388	12372827	4679764	4679770	Lung-Ep-Bron	chr3:12372388-12372827	6CpGs	439bp	0.32	0.897	0.578	0.378	0.196	5.75e-31	U
chr3	120764692	120765673	5571427	5571433	Lung-Ep-Bron	chr3:120764692-120765673	6CpGs	981bp	0.32	0.903	0.583	0.374	0.196	9.4e-36	U
chr1	17447221	17447562	326675	326683	Lung-Ep-Bron	chr1:17447221-17447562	8CpGs	341bp	0.329	0.889	0.56	0.314	0.195	4.47e-31	U
chr21	43703946	43704136	27146704	27146711	Lung-Ep-Bron	chr21:43703946-43704136	7CpGs	190bp	0.137	0.886	0.749	0.347	0.194	8.59e-22	U
chr13	24986924	24987014	19188625	19188631	Lung-Ep-Bron	chr13:24986924-24987014	6CpGs	90bp	0.104	0.871	0.767	0.548	0.193	6.17e-32	U
chr14	94094214	94094460	20613986	20613992	Lung-Ep-Bron	chr14:94094214-94094460	6CpGs	246bp	0.27	0.876	0.606	0.432	0.193	1.16e-31	U
chr10	97690736	97690922	15994552	15994558	Lung-Ep-Bron	chr10:97690736-97690922	6CpGs	186bp	0.305	0.894	0.589	0.338	0.193	3.98e-27	U
chr7	149728289	149728395	12288240	12288246	Lung-Ep-Bron	chr7:149728289-149728395	6CpGs	106bp	0.0909	0.858	0.767	0.419	0.193	1.58e-23	U
chr21	29104536	29104918	26964477	26964487	Lung-Ep-Bron	chr21:29104536-29104918	10CpGs	382bp	0.101	0.9	0.799	0.456	0.192	5.88e-33	U
chr3	160138958	160139439	5903058	5903064	Lung-Ep-Bron	chr3:160138958-160139439	6CpGs	481bp	0.153	0.89	0.737	0.507	0.192	3.83e-34	U
chr6	11705889	11705966	9448055	9448060	Lung-Ep-Bron	chr6:11705889-11705966	5CpGs	77bp	0.326	0.935	0.609	0.375	0.192	3.5e-39	U
chr12	86857239	86858026	18535783	18535790	Lung-Ep-Bron	chr12:86857239-86858026	7CpGs	787bp	0.336	0.873	0.537	0.29	0.191	1.57e-24	U
chr3	13330892	13331207	4695501	4695507	Lung-Ep-Bron	chr3:13330892-13331207	6CpGs	315bp	0.281	0.88	0.599	0.247	0.191	1.58e-19	U
chr1	182866460	182866994	1763797	1763803	Lung-Ep-Bron	chr1:182866460-182866994	6CpGs	534bp	0.251	0.914	0.663	0.44	0.191	5.18e-49	U
chr7	74654787	74655051	11634730	11634735	Lung-Ep-Bron	chr7:74654787-74655051	5CpGs	264bp	0.227	0.916	0.689	0.512	0.19	8.29e-44	U
chr2	45165572	45165859	2841526	2841531	Lung-Ep-Bron	chr2:45165572-45165859	5CpGs	287bp	0.354	0.91	0.556	0.305	0.19	5.32e-26	U
chr3	170468366	170468539	5967996	5968001	Lung-Ep-Bron	chr3:170468366-170468539	5CpGs	173bp	0.304	0.902	0.598	0.377	0.19	2.29e-27	U
chr7	74462948	74463267	11630897	11630902	Lung-Ep-Bron	chr7:74462948-74463267	5CpGs	319bp	0.276	0.842	0.566	0.304	0.188	4.99e-19	U
chr3	181889177	181889317	6053003	6053009	Lung-Ep-Bron	chr3:181889177-181889317	6CpGs	140bp	0.273	0.881	0.608	0.318	0.188	3.44e-22	U
chr17	4646604	4646659	22972437	22972442	Lung-Ep-Bron	chr17:4646604-4646659	5CpGs	55bp	0.176	0.904	0.728	0.48	0.188	1.34e-38	U
chr16	69069347	69069875	22543528	22543535	Lung-Ep-Bron	chr16:69069347-69069875	7CpGs	528bp	0.173	0.908	0.735	0.438	0.188	3.68e-31	U
chr5	140641938	140642229	8889652	8889657	Lung-Ep-Bron	chr5:140641938-140642229	5CpGs	291bp	0.255	0.89	0.635	0.424	0.188	1.22e-32	U
chr7	129255830	129256535	12089742	12089747	Lung-Ep-Bron	chr7:129255830-129256535	5CpGs	705bp	0.123	0.876	0.753	0.448	0.187	1.29e-26	U
chr3	5717742	5718150	4612603	4612609	Lung-Ep-Bron	chr3:5717742-5718150	6CpGs	408bp	0.212	0.863	0.651	0.29	0.187	1.78e-19	U
chr5	81907453	81907747	8468155	8468161	Lung-Ep-Bron	chr5:81907453-81907747	6CpGs	294bp	0.187	0.879	0.692	0.374	0.186	2e-21	U
chr15	67203681	67204471	21332603	21332612	Lung-Ep-Bron	chr15:67203681-67204471	9CpGs	790bp	0.257	0.914	0.658	0.503	0.186	2.57e-47	U
chr7	43404335	43404763	11280129	11280134	Lung-Ep-Bron	chr7:43404335-43404763	5CpGs	428bp	0.265	0.885	0.619	0.392	0.185	1.24e-28	U
chr6	3267652	3267799	9355900	9355905	Lung-Ep-Bron	chr6:3267652-3267799	5CpGs	147bp	0.228	0.93	0.702	0.502	0.184	4.76e-46	U
chr2	205556848	205556939	4168356	4168362	Lung-Ep-Bron	chr2:205556848-205556939	6CpGs	91bp	0.0623	0.883	0.821	0.528	0.183	4.24e-32	U
chr9	71942677	71943524	14261365	14261372	Lung-Ep-Bron	chr9:71942677-71943524	7CpGs	847bp	0.258	0.894	0.636	0.385	0.183	8.88e-27	U
chr3	55417060	55417714	5084489	5084494	Lung-Ep-Bron	chr3:55417060-55417714	5CpGs	654bp	0.117	0.862	0.745	0.375	0.18	1.23e-22	U
chr3	196997336	196997445	6222907	6222913	Lung-Ep-Bron	chr3:196997336-196997445	6CpGs	109bp	0.194	0.88	0.686	0.299	0.18	6.72e-17	U
chr10	124618723	124618801	16273998	16274004	Lung-Ep-Bron	chr10:124618723-124618801	6CpGs	78bp	0.117	0.911	0.794	0.519	0.18	7.34e-30	U
chr3	186056309	186057082	6104096	6104102	Lung-Ep-Bron	chr3:186056309-186057082	6CpGs	773bp	0.359	0.901	0.542	0.356	0.179	1.96e-28	U
chr1	225897725	225897821	2115667	2115673	Lung-Ep-Bron	chr1:225897725-225897821	6CpGs	96bp	0.313	0.894	0.581	0.233	0.179	1.78e-19	U
chr16	4094536	4094595	21846346	21846352	Lung-Ep-Bron	chr16:4094536-4094595	6CpGs	59bp	0.147	0.874	0.727	0.399	0.179	3.77e-25	U
chr11	20051152	20051493	16665433	16665438	Lung-Ep-Bron	chr11:20051152-20051493	5CpGs	341bp	0.305	0.886	0.582	0.29	0.178	6.65e-19	U
chr16	13939415	13939913	21976761	21976769	Lung-Ep-Bron	chr16:13939415-13939913	8CpGs	498bp	0.164	0.895	0.731	0.534	0.178	2.6e-36	U
chr5	180073919	180074461	9285745	9285751	Lung-Ep-Bron	chr5:180073919-180074461	6CpGs	542bp	0.309	0.894	0.584	0.314	0.177	4.78e-23	U
chr1	38269667	38269836	624877	624883	Lung-Ep-Bron	chr1:38269667-38269836	6CpGs	169bp	0.213	0.889	0.676	0.356	0.177	6.15e-26	U
chr22	49464502	49464790	27815454	27815463	Lung-Ep-Bron	chr22:49464502-49464790	9CpGs	288bp	0.279	0.84	0.56	0.268	0.176	2.33e-13	U
chr18	70365199	70365366	24749465	24749471	Lung-Ep-Bron	chr18:70365199-70365366	6CpGs	167bp	0.221	0.893	0.673	0.408	0.175	3.48e-29	U
chr4	165662031	165662177	7524834	7524839	Lung-Ep-Bron	chr4:165662031-165662177	5CpGs	146bp	0.11	0.863	0.753	0.365	0.175	3.41e-22	U
chr17	68018926	68018971	23836131	23836136	Lung-Ep-Bron	chr17:68018926-68018971	5CpGs	45bp	0.224	0.915	0.691	0.418	0.175	1.6e-36	U
chr1	42318572	42318734	673949	673956	Lung-Ep-Bron	chr1:42318572-42318734	7CpGs	162bp	0.19	0.891	0.701	0.339	0.174	1.17e-21	U
chr2	96468691	96468902	3281836	3281842	Lung-Ep-Bron	chr2:96468691-96468902	6CpGs	211bp	0.214	0.874	0.66	0.333	0.173	9.74e-27	U
chr10	86784991	86785431	15895809	15895814	Lung-Ep-Bron	chr10:86784991-86785431	5CpGs	440bp	0.258	0.892	0.634	0.349	0.172	1.05e-26	U
chr6	150771584	150771924	10581717	10581724	Lung-Ep-Bron	chr6:150771584-150771924	7CpGs	340bp	0.222	0.928	0.705	0.551	0.171	1.84e-46	U
chr8	141292059	141292151	13688154	13688160	Lung-Ep-Bron	chr8:141292059-141292151	6CpGs	92bp	0.128	0.847	0.719	0.319	0.171	1.43e-16	U
chr21	42368557	42368774	27119185	27119190	Lung-Ep-Bron	chr21:42368557-42368774	5CpGs	217bp	0.199	0.891	0.691	0.286	0.17	8.35e-21	U
chr11	122723968	122724351	17625006	17625013	Lung-Ep-Bron	chr11:122723968-122724351	7CpGs	383bp	0.371	0.915	0.544	0.325	0.17	9.73e-37	U
chr20	9236064	9236442	26080115	26080120	Lung-Ep-Bron	chr20:9236064-9236442	5CpGs	378bp	0.364	0.917	0.553	0.365	0.169	2.11e-35	U
chr11	2958839	2958958	16506190	16506195	Lung-Ep-Bron	chr11:2958839-2958958	5CpGs	119bp	0.173	0.869	0.696	0.482	0.169	2.17e-33	U
chr6	101852413	101852609	10210923	10210928	Lung-Ep-Bron	chr6:101852413-101852609	5CpGs	196bp	0.277	0.856	0.578	0.332	0.168	2.89e-23	U
chr10	125688304	125688504	16289492	16289498	Lung-Ep-Bron	chr10:125688304-125688504	6CpGs	200bp	0.17	0.861	0.691	0.352	0.168	3.21e-20	U
chr14	60685725	60685984	20293824	20293831	Lung-Ep-Bron	chr14:60685725-60685984	7CpGs	259bp	0.128	0.899	0.771	0.462	0.167	9.44e-38	U
chr20	49148139	49148484	26514865	26514873	Lung-Ep-Bron	chr20:49148139-49148484	8CpGs	345bp	0.112	0.92	0.808	0.562	0.167	3.93e-41	U
chr19	56396204	56396288	25946236	25946242	Neuron	chr19:56396204-56396288	6CpGs	84bp	0.296	0.905	0.609	0.417	0.229	8.25e-91	U
chr1	156418438	156418552	1542632	1542637	Neuron	chr1:156418438-156418552	5CpGs	114bp	0.207	0.928	0.721	0.57	0.198	2.16e-102	U
chr2	51026934	51027176	2892356	2892365	Neuron	chr2:51026934-51027176	9CpGs	242bp	0.231	0.914	0.683	0.371	0.19	4.27e-72	U
chr16	2101612	2101983	21796129	21796146	Neuron	chr16:2101612-2101983	17CpGs	371bp	0.235	0.918	0.682	0.497	0.186	2.83e-93	U
chr1	229340917	229341189	2165018	2165037	Neuron	chr1:229340917-229341189	19CpGs	272bp	0.155	0.927	0.772	0.627	0.179	4.94e-112	U
chr19	14203853	14204053	25233396	25233408	Neuron	chr19:14203853-14204053	12CpGs	200bp	0.197	0.915	0.718	0.565	0.174	2.62e-102	U
chr17	45099846	45099906	23564181	23564187	Neuron	chr17:45099846-45099906	6CpGs	60bp	0.327	0.951	0.624	0.564	0.163	2.88e-101	U
chr4	3530089	3530330	6322031	6322043	Neuron	chr4:3530089-3530330	12CpGs	241bp	0.219	0.865	0.646	0.432	0.126	6.63e-68	U
chr2	240818244	240818327	4537754	4537759	Neuron	chr2:240818244-240818327	5CpGs	83bp	0.105	0.85	0.744	0.425	0.12	1.94e-53	U
chr7	128030416	128030582	12071544	12071559	Neuron	chr7:128030416-128030582	15CpGs	166bp	0.0966	0.921	0.824	0.631	0.114	5.49e-89	U
chrX	49194763	49194898	28313563	28313571	Neuron	chrX:49194763-49194898	8CpGs	135bp	0.309	0.888	0.579	0.389	0.108	2.44e-77	U
chr19	18202467	18202545	25313417	25313423	Neuron	chr19:18202467-18202545	6CpGs	78bp	0.156	0.909	0.753	0.538	0.107	9.73e-87	U
chr2	209661896	209662345	4205056	4205062	Neuron	chr2:209661896-209662345	6CpGs	449bp	0.159	0.901	0.742	0.544	0.106	8.57e-83	U
chr12	132730026	132730354	19066753	19066769	Neuron	chr12:132730026-132730354	16CpGs	328bp	0.316	0.932	0.616	0.499	0.103	1.74e-92	U
chr20	36368966	36369033	26364334	26364339	Neuron	chr20:36368966-36369033	5CpGs	67bp	0.179	0.853	0.674	0.43	0.102	7.4e-64	U
chr1	2384160	2384745	63940	63960	Neuron	chr1:2384160-2384745	20CpGs	585bp	0.284	0.918	0.634	0.484	0.0955	1.92e-98	U
chr17	8476948	8477120	23043192	23043205	Neuron	chr17:8476948-8477120	13CpGs	172bp	0.375	0.935	0.56	0.498	0.0901	1.99e-96	U
chr1	151062393	151062653	1469435	1469445	Neuron	chr1:151062393-151062653	10CpGs	260bp	0.297	0.937	0.641	0.503	0.0861	4.85e-103	U
chr12	40693992	40694487	18155733	18155742	Neuron	chr12:40693992-40694487	9CpGs	495bp	0.205	0.893	0.688	0.465	0.0857	2.65e-73	U
chr17	80468916	80469000	24037831	24037838	Neuron	chr17:80468916-80469000	7CpGs	84bp	0.254	0.884	0.629	0.486	0.0851	1.29e-79	U
chr1	151711596	151711796	1479643	1479652	Neuron	chr1:151711596-151711796	9CpGs	200bp	0.175	0.874	0.699	0.477	0.0831	7.62e-61	U
chr19	5121274	5121827	25043284	25043306	Neuron	chr19:5121274-5121827	22CpGs	553bp	0.229	0.936	0.707	0.612	0.0822	1.77e-110	U
chr7	128030117	128030409	12071531	12071544	Neuron	chr7:128030117-128030409	13CpGs	292bp	0.264	0.957	0.693	0.638	0.0774	3.16e-115	U
chr19	11356117	11356381	25174960	25174965	Neuron	chr19:11356117-11356381	5CpGs	264bp	0.211	0.857	0.646	0.277	0.0747	1.63e-56	U
chr4	152102772	152102861	7427936	7427941	Neuron	chr4:152102772-152102861	5CpGs	89bp	0.206	0.875	0.669	0.374	0.0731	3.79e-60	U
chr1	229338843	229339891	2164998	2165006	Neuron	chr1:229338843-229339891	8CpGs	1048bp	0.294	0.894	0.6	0.405	0.0723	2.27e-72	U
chr4	2415820	2416173	6298844	6298851	Neuron	chr4:2415820-2416173	7CpGs	353bp	0.26	0.887	0.628	0.354	0.0719	3.07e-63	U
chr9	130235886	130235956	14847320	14847326	Neuron	chr9:130235886-130235956	6CpGs	70bp	0.221	0.899	0.678	0.397	0.0712	3.97e-63	U
chr11	1280405	1280696	16465514	16465530	Neuron	chr11:1280405-1280696	16CpGs	291bp	0.296	0.913	0.616	0.451	0.0669	6.72e-87	U
chr12	132324153	132324309	19053005	19053019	Neuron	chr12:132324153-132324309	14CpGs	156bp	0.26	0.867	0.607	0.385	0.0662	1.02e-70	U
chr5	146606730	146606925	8947210	8947218	Neuron	chr5:146606730-146606925	8CpGs	195bp	0.306	0.908	0.602	0.339	0.0656	2.56e-61	U
chr20	62063231	62063396	26687151	26687159	Neuron	chr20:62063231-62063396	8CpGs	165bp	0.112	0.888	0.777	0.406	0.0652	2.51e-54	U
chr3	16329921	16330177	4730376	4730383	Neuron	chr3:16329921-16330177	7CpGs	256bp	0.29	0.876	0.587	0.311	0.0624	1.33e-44	U
chr8	19854381	19854977	12682829	12682839	Neuron	chr8:19854381-19854977	10CpGs	596bp	0.259	0.86	0.601	0.43	0.0606	5.27e-68	U
chr10	125006154	125006336	16280567	16280578	Neuron	chr10:125006154-125006336	11CpGs	182bp	0.337	0.903	0.566	0.427	0.0583	7.56e-76	U
chr12	57550724	57551254	18339541	18339546	Neuron	chr12:57550724-57551254	5CpGs	530bp	0.0761	0.843	0.767	0.472	0.0576	6.66e-48	U
chr18	13374255	13374753	24260661	24260671	Neuron	chr18:13374255-13374753	10CpGs	498bp	0.295	0.919	0.624	0.527	0.057	2.69e-89	U
chr14	51089837	51090849	20211752	20211757	Neuron	chr14:51089837-51090849	5CpGs	1012bp	0.167	0.882	0.715	0.454	0.0549	8.03e-60	U
chr19	18202683	18202732	25313433	25313438	Neuron	chr19:18202683-18202732	5CpGs	49bp	0.124	0.853	0.729	0.546	0.0495	9.23e-68	U
chr7	44388313	44388640	11293312	11293318	Neuron	chr7:44388313-44388640	6CpGs	327bp	0.302	0.923	0.621	0.458	0.0476	9.81e-95	U
chr11	123562624	123563119	17635664	17635672	Neuron	chr11:123562624-123563119	8CpGs	495bp	0.266	0.907	0.641	0.328	0.0449	2.21e-67	U
chr1	2020270	2020459	51316	51323	Neuron	chr1:2020270-2020459	7CpGs	189bp	0.254	0.765	0.511	0.202	0.0443	1.04e-40	U
chr12	123077573	123077911	18911207	18911215	Neuron	chr12:123077573-123077911	8CpGs	338bp	0.265	0.915	0.651	0.398	0.0422	7.04e-74	U
chr6	110800100	110800705	10285178	10285184	Neuron	chr6:110800100-110800705	6CpGs	605bp	0.27	0.9	0.63	0.389	0.0347	1.1e-67	U
chr20	63180668	63180745	26721002	26721007	Neuron	chr20:63180668-63180745	5CpGs	77bp	0.199	0.911	0.711	0.61	0.0341	1.92e-96	U
chr11	17906348	17906667	16645066	16645074	Neuron	chr11:17906348-17906667	8CpGs	319bp	0.191	0.921	0.73	0.639	0.0337	1.44e-95	U
chr22	26451976	26451994	27441417	27441423	Neuron	chr22:26451976-26451994	6CpGs	18bp	0.298	0.866	0.569	0.388	0.0332	2.44e-67	U
chr1	204683268	204683610	1927991	1927996	Neuron	chr1:204683268-204683610	5CpGs	342bp	0.198	0.871	0.673	0.454	0.0299	1.78e-62	U
chr7	5351661	5351789	10950720	10950732	Neuron	chr7:5351661-5351789	12CpGs	128bp	0.234	0.933	0.699	0.536	0.0297	5.02e-87	U
chr12	121154585	121154817	18873578	18873585	Neuron	chr12:121154585-121154817	7CpGs	232bp	0.319	0.895	0.576	0.363	0.0264	5.7e-60	U
chr11	63684043	63684172	17039585	17039591	Neuron	chr11:63684043-63684172	6CpGs	129bp	0.0896	0.891	0.801	0.384	0.0246	8.08e-53	U
chr1	183419049	183419106	1769180	1769186	Neuron	chr1:183419049-183419106	6CpGs	57bp	0.243	0.868	0.625	0.483	0.0236	7.3e-72	U
chr15	70407489	70407521	21367660	21367665	Neuron	chr15:70407489-70407521	5CpGs	32bp	0.202	0.885	0.684	0.257	0.021	7.85e-42	U
chr15	31304702	31305080	20977876	20977886	Neuron	chr15:31304702-31305080	10CpGs	378bp	0.369	0.904	0.535	0.306	0.0209	1.09e-55	U
chr16	702506	702557	21745149	21745154	Neuron	chr16:702506-702557	5CpGs	51bp	0.21	0.873	0.663	0.457	0.0162	1.89e-59	U
chr10	123666808	123666867	16259413	16259420	Neuron	chr10:123666808-123666867	7CpGs	59bp	0.261	0.776	0.516	0.194	0.0159	2.76e-32	U
chr11	123577386	123577429	17635847	17635854	Neuron	chr11:123577386-123577429	7CpGs	43bp	0.191	0.92	0.729	0.594	0.0156	5.82e-89	U
chr1	2260286	2260431	59736	59741	Neuron	chr1:2260286-2260431	5CpGs	145bp	0.337	0.921	0.584	0.382	0.0147	1.09e-69	U
chr2	51026590	51026917	2892351	2892356	Neuron	chr2:51026590-51026917	5CpGs	327bp	0.143	0.85	0.707	0.37	0.0131	4.88e-48	U
chr12	1838860	1838980	17787711	17787716	Neuron	chr12:1838860-1838980	5CpGs	120bp	0.242	0.864	0.622	0.359	0.0103	6.66e-55	U
chr1	241355658	241355916	2290182	2290188	Neuron	chr1:241355658-241355916	6CpGs	258bp	0.151	0.884	0.732	0.613	0.00917	7.42e-86	U
chr16	30417069	30417278	22197250	22197256	Neuron	chr16:30417069-30417278	6CpGs	209bp	0.239	0.897	0.658	0.524	0.00878	1.69e-75	U
chr7	44276768	44277248	11291837	11291856	Neuron	chr7:44276768-44277248	19CpGs	480bp	0.314	0.897	0.583	0.482	0.00817	4.6e-83	U
chrX	70446473	70446775	28526747	28526753	Neuron	chrX:70446473-70446775	6CpGs	302bp	0.132	0.863	0.731	0.607	0.0065	1.08e-72	U
chr11	62707263	62707607	17027940	17027951	Neuron	chr11:62707263-62707607	11CpGs	344bp	0.0875	0.869	0.782	0.511	0.00483	2.17e-63	U
chr11	123527174	123528123	17635261	17635271	Neuron	chr11:123527174-123528123	10CpGs	949bp	0.26	0.889	0.629	0.313	0.00402	3.15e-57	U
chr19	591318	591352	24891119	24891126	Neuron	chr19:591318-591352	7CpGs	34bp	0.239	0.781	0.542	0.33	0.00331	2.69e-46	U
chr1	110601978	110602167	1212614	1212621	Neuron	chr1:110601978-110602167	7CpGs	189bp	0.258	0.908	0.65	0.348	0.00316	3.56e-60	U
chr11	64635418	64635651	17060688	17060694	Neuron	chr11:64635418-64635651	6CpGs	233bp	0.258	0.882	0.625	0.44	0.0016	1.53e-71	U
chr12	122941035	122941396	18908625	18908634	Neuron	chr12:122941035-122941396	9CpGs	361bp	0.337	0.9	0.563	0.398	0.000586	3.32e-66	U
chr19	57724816	57725293	25964073	25964082	Neuron	chr19:57724816-57725293	9CpGs	477bp	0.323	0.936	0.613	0.436	-0.000666	1.68e-82	U
chr11	123526636	123526998	17635254	17635260	Neuron	chr11:123526636-123526998	6CpGs	362bp	0.193	0.873	0.68	0.44	-0.00155	2.05e-55	U
chr11	17765234	17765305	16643773	16643779	Neuron	chr11:17765234-17765305	6CpGs	71bp	0.105	0.874	0.769	0.55	-0.00237	5.72e-72	U
chr1	3779447	3779770	102884	102899	Neuron	chr1:3779447-3779770	15CpGs	323bp	0.338	0.911	0.573	0.401	-0.00363	4.82e-77	U
chr9	135089606	135089669	14948643	14948648	Neuron	chr9:135089606-135089669	5CpGs	63bp	0.131	0.764	0.634	0.346	-0.00391	2.47e-37	U
chr8	41894746	41894914	12899231	12899239	Neuron	chr8:41894746-41894914	8CpGs	168bp	0.2	0.841	0.641	0.458	-0.00396	1.48e-72	U
chr11	45895064	45895391	16852969	16852976	Neuron	chr11:45895064-45895391	7CpGs	327bp	0.282	0.89	0.609	0.249	-0.00572	2.14e-62	U
chr9	130174393	130174606	14845962	14845968	Neuron	chr9:130174393-130174606	6CpGs	213bp	0.287	0.914	0.626	0.382	-0.00733	2.22e-65	U
chr1	35559888	35560436	587971	587982	Neuron	chr1:35559888-35560436	11CpGs	548bp	0.332	0.901	0.569	0.47	-0.0075	4.63e-84	U
chr20	34871503	34871778	26342543	26342548	Neuron	chr20:34871503-34871778	5CpGs	275bp	0.199	0.923	0.724	0.541	-0.00813	1.03e-86	U
chr2	58893479	58893926	2947793	2947802	Neuron	chr2:58893479-58893926	9CpGs	447bp	0.179	0.849	0.67	0.291	-0.00835	5.06e-38	U
chr14	101997683	101997939	20716791	20716797	Neuron	chr14:101997683-101997939	6CpGs	256bp	0.229	0.878	0.649	0.488	-0.00903	2.28e-70	U
chr7	158252368	158252496	12424446	12424451	Neuron	chr7:158252368-158252496	5CpGs	128bp	0.194	0.856	0.662	0.375	-0.00982	9.44e-49	U
chr13	113093387	113093676	19888187	19888197	Neuron	chr13:113093387-113093676	10CpGs	289bp	0.208	0.887	0.679	0.378	-0.0104	7.33e-58	U
chr20	36369064	36369166	26364340	26364348	Neuron	chr20:36369064-36369166	8CpGs	102bp	0.161	0.81	0.649	0.295	-0.0107	9.86e-48	U
chr3	10499372	10499586	4658017	4658026	Neuron	chr3:10499372-10499586	9CpGs	214bp	0.217	0.863	0.645	0.419	-0.0116	4.66e-57	U
chr2	25979812	25980199	2652911	2652918	Neuron	chr2:25979812-25980199	7CpGs	387bp	0.284	0.915	0.631	0.487	-0.0118	3.47e-86	U
chr14	102008963	102009249	20717014	20717021	Neuron	chr14:102008963-102009249	7CpGs	286bp	0.29	0.885	0.595	0.292	-0.0164	7.11e-50	U
chr3	133891685	133892153	5706034	5706045	Neuron	chr3:133891685-133892153	11CpGs	468bp	0.357	0.908	0.551	0.412	-0.0164	4.59e-73	U
chr10	125005948	125006100	16280557	16280566	Neuron	chr10:125005948-125006100	9CpGs	152bp	0.392	0.935	0.543	0.423	-0.0168	3.86e-79	U
chr13	113069981	113070432	19887389	19887411	Neuron	chr13:113069981-113070432	22CpGs	451bp	0.309	0.901	0.592	0.354	-0.0174	2.44e-63	U
chr11	784136	784317	16449865	16449874	Neuron	chr11:784136-784317	9CpGs	181bp	0.184	0.902	0.717	0.525	-0.0177	8.72e-71	U
chr20	10246252	10246289	26087153	26087159	Neuron	chr20:10246252-10246289	6CpGs	37bp	0.332	0.938	0.606	0.504	-0.0192	2.37e-87	U
chr1	155875081	155875592	1533387	1533395	Neuron	chr1:155875081-155875592	8CpGs	511bp	0.323	0.897	0.574	0.318	-0.0206	7.34e-68	U
chr12	119801499	119801690	18850773	18850780	Neuron	chr12:119801499-119801690	7CpGs	191bp	0.171	0.891	0.72	0.471	-0.0206	1.75e-59	U
chr2	39668285	39668641	2789771	2789778	Neuron	chr2:39668285-39668641	7CpGs	356bp	0.167	0.909	0.742	0.459	-0.0215	5.63e-70	U
chr9	127693222	127693395	14792708	14792713	Neuron	chr9:127693222-127693395	5CpGs	173bp	0.236	0.89	0.654	0.514	-0.0246	1.57e-76	U
chr11	12123636	12123944	16596387	16596392	Neuron	chr11:12123636-12123944	5CpGs	308bp	0.211	0.89	0.68	0.448	-0.025	1e-60	U
chr16	205466	205751	21726936	21726947	Neuron	chr16:205466-205751	11CpGs	285bp	0.273	0.899	0.626	0.477	-0.0272	2.64e-78	U
